Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,20.500000,20.840000,20.450001,20.690001,20.427132,553900
2023-01-04,20.650000,21.070000,20.620001,20.959999,20.693699,873000
2023-01-05,20.830000,21.415001,20.830000,21.170000,20.901031,1019800
2023-01-06,21.120001,21.423000,20.389999,21.230000,20.960270,915400
2023-01-09,21.230000,21.639999,21.000000,21.299999,21.029379,733500
2023-01-10,21.190001,21.655001,21.180000,21.620001,21.345316,517700
2023-01-11,21.440001,21.459999,20.370001,20.610001,20.348148,1471900
2023-01-12,20.320000,20.650000,20.290001,20.570000,20.308655,1297000
2023-01-13,20.379999,20.520000,20.110001,20.139999,19.884117,1126900
2023-01-17,20.139999,20.370001,20.075001,20.260000,20.002594,1657100
2023-01-18,20.360001,20.379999,20.070000,20.090000,19.834753,1063300
2023-01-19,19.969999,20.080000,19.740000,19.780001,19.528692,916400
2023-01-20,19.840000,20.160000,19.709999,20.100000,19.844627,1774300
2023-01-23,20.129999,20.350000,19.885000,20.330000,20.071705,1949400
2023-01-24,20.250000,20.480000,20.020000,20.120001,19.864374,1001200
2023-01-25,20.000000,20.490000,19.940001,20.490000,20.229671,1898100
2023-01-26,19.690001,19.920000,18.410000,19.260000,19.015299,4793900
2023-01-27,19.190001,20.070000,19.041000,19.870001,19.617550,1555700
2023-01-30,19.750000,19.930000,19.600000,19.730000,19.479326,1457200
2023-01-31,19.719999,19.740000,19.219999,19.309999,19.064663,1766100
2023-02-01,19.299999,19.635000,19.010000,19.379999,19.133774,1526800
2023-02-02,19.430000,19.799999,19.264999,19.480000,19.232504,1652400
2023-02-03,19.350000,19.570000,19.170000,19.410000,19.163393,1234000
2023-02-06,19.299999,19.350000,19.100000,19.180000,18.936316,1421000
2023-02-07,19.120001,19.330000,18.959999,19.309999,19.064663,1346400
2023-02-08,19.290001,19.730000,19.270000,19.430000,19.183140,1612900
2023-02-09,19.480000,19.620001,19.115000,19.160000,18.916569,1580300
2023-02-10,19.200001,20.030001,19.110001,20.020000,19.765644,1896600
2023-02-13,20.020000,20.350000,20.020000,20.340000,20.081577,1088000
2023-02-14,20.340000,20.340000,19.930000,20.040001,19.785389,786200
2023-02-15,19.950001,20.549999,19.950001,20.540001,20.279037,1493400
2023-02-16,20.520000,20.790001,20.459999,20.520000,20.259291,1032500
2023-02-17,20.520000,20.520000,20.084999,20.270000,20.012466,977900
2023-02-21,20.030001,20.098000,19.780001,19.940001,19.686661,990600
2023-02-22,19.889999,19.900000,19.155001,19.240000,18.995552,1701700
2023-02-23,19.270000,19.415001,18.785000,18.980000,18.738855,1190900
2023-02-24,18.900000,19.219999,18.770000,19.129999,18.886950,1392900
2023-02-27,19.290001,19.500000,18.719999,18.889999,18.650000,1286200
2023-02-28,18.700001,18.740000,18.330000,18.379999,18.379999,1661800
2023-03-01,18.360001,18.580000,18.160000,18.490000,18.490000,1595700
2023-03-02,18.459999,18.459999,18.205000,18.410000,18.410000,856100
